tam_registro;orgenizacao;algoritmo;tam_entrada;tempo;comparacoes;deslocamentos
grande;aleatorio;merge;100000;0.805080;1536333;1668928
grande;crescente;insertion;20;0.000003;19;0
grande;crescente;insertion;500;0.000054;499;0
grande;crescente;insertion;5000;0.001078;4999;0
grande;crescente;insertion;10000;0.002183;9999;0
grande;crescente;insertion;100000;0.021456;99999;0
grande;crescente;selection;20;0.000003;190;57
grande;crescente;selection;500;0.000585;124750;1497
grande;crescente;selection;5000;0.059103;12497500;14997
grande;crescente;selection;10000;0.262362;49995000;29997
grande;crescente;selection;100000;96.098596;-154010755;299997
grande;crescente;quick;20;0.000003;54;36
grande;crescente;quick;500;0.000048;3498;765
grande;crescente;quick;5000;0.001202;51822;8856
grande;crescente;quick;10000;0.002657;113631;17712
grande;crescente;quick;100000;0.033262;1468946;196605
grande;crescente;shell;20;0.000001;42;0
grande;crescente;shell;500;0.000014;2457;0
grande;crescente;shell;5000;0.000223;35084;0
grande;crescente;shell;10000;0.000522;75243;0
grande;crescente;shell;100000;0.019103;967146;0
grande;crescente;heap;20;0.000010;273;243
grande;crescente;heap;500;0.000528;13815;13065
grande;crescente;heap;5000;0.010215;190299;182799
grande;crescente;heap;10000;0.022840;410871;395871
grande;crescente;heap;100000;0.282523;5102565;4952565
grande;crescente;merge;20;0.000038;48;88
grande;crescente;merge;500;0.001524;2272;4488
grande;crescente;merge;5000;0.029314;32004;61808
grande;crescente;merge;10000;0.061639;69008;133616
grande;crescente;merge;100000;0.806365;853904;1668928
grande;decrescente;insertion;20;0.000010;19;190
grande;decrescente;insertion;500;0.008963;499;124750
grande;decrescente;insertion;5000;2.420955;4999;12497500
grande;decrescente;insertion;10000;11.337532;9999;49995000
grande;decrescente;insertion;100000;1247.568138;99999;-154010755
grande;decrescente;selection;20;0.000004;190;57
grande;decrescente;selection;500;0.000599;124750;1497
grande;decrescente;selection;5000;0.061545;12497500;14997
grande;decrescente;selection;10000;0.267976;49995000;29997
grande;decrescente;selection;100000;99.815153;-154010755;299997
grande;decrescente;quick;20;0.000003;38;66
grande;decrescente;quick;500;0.000072;3006;1512
grande;decrescente;quick;5000;0.002214;46834;16356
grande;decrescente;quick;10000;0.004816;103644;32712
grande;decrescente;quick;100000;0.055969;1368962;346602
grande;decrescente;shell;20;0.000004;60;90
grande;decrescente;shell;500;0.000257;4053;5412
grande;decrescente;shell;5000;0.006276;51491;57636
grande;decrescente;shell;10000;0.018715;120190;161112
grande;decrescente;shell;100000;0.211866;1533494;1858962
grande;decrescente;heap;20;0.000007;219;189
grande;decrescente;heap;500;0.000454;11781;11031
grande;decrescente;heap;5000;0.008812;167811;160311
grande;decrescente;heap;10000;0.020081;365091;350091
grande;decrescente;heap;100000;0.265885;4642305;4492305
grande;decrescente;merge;20;0.000041;40;88
grande;decrescente;merge;500;0.002640;2216;4488
grande;decrescente;merge;5000;0.029288;29804;61808
grande;decrescente;merge;10000;0.061785;64608;133616
grande;decrescente;merge;100000;0.804075;815024;1668928





