algoritmo,20,500,5000,10000,100000
Inserção,0.000002,0.000734,0.072347,0.291309,29.998797
Seleção,0.000000,0.000319,0.049480,0.203191,21.434361
Quick,0.000001,0.000019,0.000251,0.000541,0.006521
Shell,0.000001,0.000034,0.000397,0.000965,0.012327
Heap,0.000003,0.000079,0.001150,0.002591,0.031149
Merge,0.000013,0.000362,0.005640,0.011812,0.117571
